Query,Context
"What's the story behind ""Gladiator""?","movie name: Gladiator
movie release date: 2000
movie plot: A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
rating: 8.5"
Which movie features a story about a boy wizard?,"movie name: Harry Potter and the Philosopher's Stone
movie release date: 2001
movie plot: An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.
rating: 7.6"
"When did ""The Dark Knight"" premiere?","movie name: The Dark Knight
movie release date: 2008
movie plot: When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.
rating: 9.0"
"What's the plot of ""Saving Private Ryan""?","movie name: Saving Private Ryan
movie release date: 1998
movie plot: Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
rating: 8.6"
"Describe the premise of ""The Sixth Sense"".","movie name: The Sixth Sense
movie release date: 1999
movie plot: A child psychologist tries to help a boy who claims to see dead people.
rating: 8.2"
"When was ""Avatar"" released?","movie name: Avatar
movie release date: 2009
movie plot: A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
rating: 7.8"
"What's the story of ""Eternal Sunshine of the Spotless Mind""?","movie name: Eternal Sunshine of the Spotless Mind
movie release date: 2004
movie plot: When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.
rating: 8.3"
"In which year did ""The Terminator"" come out?","movie name: The Terminator
movie release date: 1984
movie plot: A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.
rating: 8.1"
"Describe the plot of ""The Green Mile"".","movie name: The Green Mile
movie release date: 1999
movie plot: The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
rating: 8.6"
"When was ""Back to the Future"" released?","movie name: Back to the Future
movie release date: 1985
movie plot: Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.
rating: 8.5"
"What's the premise of ""Interstellar""?","movie name: Interstellar
movie release date: 2014
movie plot: A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
rating: 8.6"
Which movie tells the story of a man aging backwards?,"movie name: The Curious Case of Benjamin Button
movie release date: 2008
movie plot: Tells the story of Benjamin Button, a man who starts aging backwards with consequences.
rating: 7.8"
"When did ""The Breakfast Club"" debut?","movie name: The Breakfast Club
movie release date: 1985
movie plot: Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.
rating: 7.8"
"What's the plot of ""Memento""?","movie name: Memento
movie release date: 2000
movie plot: A man with short-term memory loss attempts to track down his wife's murderer.
rating: 8.4"
"Describe the story of ""The Truman Show"".","movie name: The Truman Show
movie release date: 1998
movie plot: An insurance salesman discovers his whole life is actually a reality TV show.
rating: 8.2"
"When was ""Blade Runner"" first released?","movie name: Blade Runner
movie release date: 1982
movie plot: A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
rating: 8.1"
"What's the premise of ""Ex Machina""?","movie name: Ex Machina
movie release date: 2014
movie plot: A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
rating: 7.7"
Which movie features a story about a man stuck on Mars?,"movie name: The Martian
movie release date: 2015
movie plot: An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.
rating: 8.0"
"When did ""A Beautiful Mind"" come out?","movie name: A Beautiful Mind
movie release date: 2001
movie plot: After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.
rating: 8.2"
"Describe the plot of ""Groundhog Day"".","movie name: Groundhog Day
movie release date: 1993
movie plot: A weatherman finds himself inexplicably living the same day over and over again.
rating: 8.1"
"What's the story behind ""The Grand Budapest Hotel""?","movie name: The Grand Budapest Hotel
movie release date: 2014
movie plot: A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.
rating: 8.1"
"When was ""The Big Lebowski"" released?","movie name: The Big Lebowski
movie release date: 1998
movie plot: Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a ruined rug and enlists his bowling buddies to help get it.
rating: 8.1"
"What's the premise of ""Her""?","movie name: Her
movie release date: 2013
movie plot: In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
rating: 8.0"
"Describe the plot of ""Arrival"".","movie name: Arrival
movie release date: 2016
movie plot: A linguist works with the military to communicate with alien"
